,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Castro,BR,1604388255,-24.79,-50.01,52.25,84,100,7.94
1,Saint Paul Harbor,US,1604388163,57.79,-152.41,24.8,49,1,11.41
2,Kavieng,PG,1604388186,-2.57,150.8,84.33,72,76,1.97
3,Geraldton,AU,1604388256,-28.77,114.6,73.4,56,95,17.22
4,Tasiilaq,GL,1604388256,65.61,-37.64,26.6,53,0,2.24
5,Punta Arenas,CL,1604388054,-53.15,-70.92,48.2,81,75,6.93
6,São Filipe,CV,1604388256,14.9,-24.5,80.04,61,50,8.57
7,Butaritari,KI,1604388256,3.07,172.79,80.94,76,0,17.58
8,Zhoukou,CN,1604388257,33.63,114.63,64.04,27,88,5.06
9,Khatanga,RU,1604388257,71.97,102.5,7.9,96,100,4.29
10,Kungurtug,RU,1604388257,50.6,97.52,31.91,82,97,1.45
11,Bull Savanna,JM,1604388257,17.89,-77.59,73.8,94,100,11.45
12,East London,ZA,1604388258,-33.02,27.91,75.2,60,0,10.29
13,Mar del Plata,AR,1604388258,-38.0,-57.56,59.0,93,0,4.7
14,Pyskowice,PL,1604388258,50.4,18.63,57.99,92,96,4.0
15,Marawi,PH,1604388258,8.0,124.29,84.0,78,100,5.99
16,Faya,SA,1604388259,18.39,42.45,69.8,18,0,4.7
17,Iqaluit,CA,1604388045,63.75,-68.51,14.0,85,90,36.91
18,Hermanus,ZA,1604388259,-34.42,19.23,72.0,71,9,8.01
19,Lebu,CL,1604388259,-37.62,-73.65,49.87,92,76,10.31
20,Nikolskoye,RU,1604388260,59.7,30.79,46.4,87,90,13.42
21,Kalāleh,IR,1604388002,37.38,55.49,66.2,72,0,3.78
22,Busselton,AU,1604388260,-33.65,115.33,72.0,38,67,13.11
23,Suphan Buri,TH,1604388156,14.47,100.12,89.01,58,0,5.99
24,Torbay,CA,1604388260,47.67,-52.73,48.99,87,90,18.34
25,Saskylakh,RU,1604388261,71.92,114.08,10.49,95,100,9.62
26,Fortuna,US,1604388261,40.6,-124.16,41.0,100,20,4.52
27,Ribeira Grande,PT,1604388261,38.52,-28.7,59.0,82,75,9.17
28,Rikitea,PF,1604388186,-23.12,-134.97,72.19,73,100,15.43
29,Grants,US,1604388045,35.15,-107.85,35.6,80,1,4.7
30,Malacca,MY,1604388262,2.2,102.24,87.8,70,20,1.12
31,Bubaque,GW,1604388262,11.28,-15.83,84.25,67,0,7.85
32,Cururupu,BR,1604388262,-1.83,-44.87,74.32,95,100,2.13
33,Barrow,US,1604388224,71.29,-156.79,28.4,86,90,18.34
34,Cape Town,ZA,1604387984,-33.93,18.42,73.4,60,0,4.7
35,Atuona,PF,1604388263,-9.8,-139.03,78.01,73,1,20.33
36,Chernyshevskiy,RU,1604388263,63.01,112.47,20.14,98,99,6.53
37,Vaini,TO,1604388263,-21.2,-175.2,74.89,80,99,23.49
38,George,ZA,1604388263,-33.96,22.46,62.6,100,90,4.7
39,Grand Gaube,MU,1604388263,-20.01,57.66,78.01,60,81,13.0
40,Saint-Augustin,CA,1604388264,51.23,-58.65,36.95,80,100,42.32
41,Saint-Joseph,RE,1604388264,-21.37,55.62,78.8,47,67,24.16
42,Atasū,KZ,1604388264,48.68,71.64,42.71,62,0,7.49
43,Upernavik,GL,1604388264,72.79,-56.15,15.3,88,42,6.85
44,Hasaki,JP,1604388264,35.73,140.83,62.6,82,75,4.7
45,Sarankhola,BD,1604388265,22.31,89.79,85.98,71,15,3.18
46,Zhoucheng,CN,1604388265,35.91,116.31,61.63,27,99,5.19
47,Snåase,NO,1604388265,64.25,12.38,44.6,81,75,8.05
48,Yar-Sale,RU,1604388265,66.83,70.83,24.93,98,100,5.32
49,Isangel,VU,1604388266,-19.55,169.27,77.0,94,90,6.93
50,San Patricio,US,1604388266,28.02,-97.52,60.8,87,1,3.36
51,Tomatlán,MX,1604388266,19.93,-105.25,70.75,71,0,2.8
52,Comodoro Rivadavia,AR,1604388097,-45.87,-67.5,57.2,76,0,4.7
53,Katsuura,JP,1604388267,35.13,140.3,64.99,88,75,9.17
54,Inhambane,MZ,1604388267,-23.86,35.38,80.6,65,20,6.93
55,Sitka,US,1604388267,57.05,-135.33,39.2,80,90,5.82
56,Nelson Bay,AU,1604388268,-32.72,152.15,70.0,56,0,10.29
57,Nanortalik,GL,1604388268,60.14,-45.24,39.79,91,100,26.49
58,Necochea,AR,1604388268,-38.55,-58.74,54.0,88,18,5.01
59,Acarí,PE,1604388268,-15.43,-74.62,61.47,76,56,2.91
60,Alamosa,US,1604388268,37.47,-105.87,30.2,86,1,3.36
61,Kapaa,US,1604388078,22.08,-159.32,78.8,78,40,8.05
62,Fairbanks,US,1604388199,64.84,-147.72,-11.99,74,20,1.01
63,Anadyr,RU,1604388269,64.75,177.48,14.0,85,20,13.42
64,Mount Gambier,AU,1604388269,-37.83,140.77,82.4,24,99,21.92
65,Port Alfred,ZA,1604388270,-33.59,26.89,72.48,71,39,17.2
66,Albany,US,1604388003,42.6,-73.97,43.0,67,100,8.01
67,Naze,JP,1604388270,28.37,129.48,71.6,56,75,21.92
68,Cidreira,BR,1604388270,-30.18,-50.21,59.45,81,8,1.72
69,Afuá,BR,1604388271,-0.16,-50.39,77.41,88,80,4.76
70,Ushuaia,AR,1604388271,-54.8,-68.3,44.6,75,0,3.36
71,Yellowknife,CA,1604388034,62.46,-114.35,10.4,85,90,9.17
72,Alofi,NU,1604388108,-19.06,-169.92,75.2,88,20,8.05
73,Aklavik,CA,1604388272,68.22,-135.01,-0.4,84,97,2.24
74,Bluff,NZ,1604388272,-46.6,168.33,55.99,74,0,1.99
75,Marsh Harbour,BS,1604388272,26.54,-77.06,70.68,76,0,26.55
76,New Norfolk,AU,1604388063,-42.78,147.06,81.0,29,100,3.0
77,Mossamedes,AO,1604388273,-15.2,12.15,71.2,73,55,5.53
78,Takoradze,GH,1604388273,4.88,-1.76,78.04,87,59,1.57
79,Juneau,US,1604388194,58.3,-134.42,28.4,100,90,2.55
80,Tumsar,IN,1604388273,21.38,79.73,84.78,34,65,7.7
81,Te Anau,NZ,1604388273,-45.42,167.72,57.24,72,3,1.83
82,Berdigestyakh,RU,1604388274,62.1,126.7,1.02,90,0,3.06
83,Wardha,IN,1604388274,20.75,78.62,86.0,22,57,10.29
84,Lamar,US,1604388274,33.67,-95.58,45.0,75,1,5.82
85,Tezu,IN,1604388275,27.92,96.17,85.55,53,55,3.29
86,Songyang,CN,1604388275,34.46,113.03,70.0,99,44,4.09
87,Sfântu Gheorghe,RO,1604388275,45.87,25.78,43.0,84,100,1.79
88,Vila Velha,BR,1604388276,-20.33,-40.29,66.2,88,75,3.36
89,Amarillo,US,1604388004,35.22,-101.83,52.0,53,1,13.87
90,Petropavlovsk-Kamchatskiy,RU,1604388276,53.05,158.65,42.8,87,90,17.9
91,Hilo,US,1604388276,19.73,-155.09,75.2,88,20,4.9
92,Panzhihua,CN,1604388276,26.59,101.71,63.72,59,87,2.75
93,Bismarck,US,1604388116,46.81,-100.78,50.0,80,1,3.36
94,Kralendijk,BQ,1604388277,12.15,-68.27,80.6,83,96,12.75
95,Manicoré,BR,1604388277,-5.81,-61.3,77.0,94,0,1.92
96,Husavik,IS,1604388277,66.04,-17.34,35.6,87,90,20.8
97,Churapcha,RU,1604388278,62.0,132.43,-7.01,90,12,6.53
98,Hobyo,SO,1604388278,5.35,48.53,83.64,71,17,16.58
99,Saint-Philippe,RE,1604388278,-21.36,55.77,78.8,47,86,24.16
100,San Quintín,MX,1604388278,30.48,-115.95,51.01,7,0,13.0
101,Lorengau,PG,1604388279,-2.02,147.27,85.12,70,99,3.91
102,Hobart,AU,1604388227,-42.88,147.33,81.0,34,0,16.11
103,Bredasdorp,ZA,1604388279,-34.53,20.04,66.2,82,90,11.41
104,Carnarvon,AU,1604388279,-24.87,113.63,77.0,38,0,21.92
105,Sittwe,MM,1604388279,20.15,92.9,82.08,77,82,5.77
106,Yumen,CN,1604388280,40.28,97.2,52.95,35,89,17.83
107,Hamilton,US,1604388210,39.18,-84.53,41.0,48,1,9.17
108,São João da Barra,BR,1604388280,-21.64,-41.05,64.8,73,5,5.32
109,Clyde River,CA,1604388280,70.47,-68.59,19.4,79,90,16.11
110,Jamestown,US,1604388280,42.1,-79.24,43.0,64,20,14.99
111,Ducheng,CN,1604388281,23.24,111.53,79.77,46,3,5.5
112,Rafrāf,TN,1604388281,37.19,10.18,60.8,100,40,1.1
113,Pasni,PK,1604388281,25.26,63.47,83.53,28,0,3.29
114,Adrar,MR,1604388282,20.5,-10.07,74.5,20,100,11.99
115,Natal,BR,1604388282,-5.79,-35.21,75.2,88,40,9.17
116,Mehamn,NO,1604388282,71.04,27.85,39.2,86,75,14.99
117,Clarence Town,AU,1604388282,-32.58,151.78,70.0,56,0,10.29
118,George Town,MY,1604388283,5.41,100.34,84.2,74,40,5.82
119,Bengkulu,ID,1604388283,-3.8,102.27,79.07,84,100,2.53
120,Xuanwu,CN,1604388283,32.07,118.81,62.6,27,0,4.47
121,Ahipara,NZ,1604388283,-35.17,173.17,63.86,89,100,12.06
122,Dzaoudzi,YT,1604388284,-12.79,45.27,84.2,66,0,4.7
123,Mataura,NZ,1604388284,-46.19,168.86,55.99,74,0,1.99
124,Terekli-Mekteb,RU,1604388284,44.17,45.87,59.72,45,100,9.89
125,Genhe,CN,1604388285,50.78,121.52,19.81,85,0,9.48
126,Colac,AU,1604388285,-38.33,143.58,84.99,46,100,9.26
127,Thinadhoo,MV,1604388285,0.53,72.93,83.12,71,100,6.6
128,Manokwari,ID,1604388285,-0.87,134.08,84.29,68,90,8.05
129,Tefé,BR,1604388285,-3.35,-64.71,74.34,87,91,1.88
130,Kruisfontein,ZA,1604388286,-34.0,24.73,78.01,64,0,1.01
131,Tigil',RU,1604388286,57.8,158.67,33.12,88,100,14.61
132,Mount Isa,AU,1604388286,-20.73,139.5,102.2,10,8,12.75
133,Yangi Marg`ilon,UZ,1604388286,40.43,71.72,60.8,23,0,2.24
134,Porto-Novo,BJ,1604388184,6.5,2.6,78.8,88,40,4.7
